62405	10235	8	225
39733	27010	3	2
48630	47045	5	2
47045	48630	5	2
60287	10235	8	474
25222	10235	1	80
41824	1203	4	3
29651	18119	1	58
45863	58305	5	1
58305	45863	5	1
49435	45766	5	19
45766	49435	5	19
41677	34138	5	1
34138	41677	5	1
42344	10235	4	2
54430	62229	6	2
62941	10235	8	3
37298	37459	5	1
37459	37298	5	1
41339	37298	5	1
37298	41339	5	1
41339	37459	5	1
37459	41339	5	1
61651	10235	8	108
60802	17619	8	3
36213	10235	4	33
37122	30787	3	49
58305	23593	3	61
30450	10235	1	143
56192	10235	4	125
24084	10235	1	123
37076	24736	3	2
37607	6152	4	2
52445	54755	5	117
54755	52445	5	117
37367	10235	4	19
37367	33554	3	3
33554	29092	0	277
29092	33554	0	277
37459	28943	3	84
37459	37459	5	106
61693	32345	7	2033
34033	32345	3	113
23848	2315	1	4
58305	10235	4	7089
58305	24374	3	2
55117	10235	4	5
47118	10529	4	30
35993	10529	4	10
24226	10235	1	56
45390	10235	4	520
45390	21632	3	4
58072	32111	3	129
40625	53061	5	1
53061	40625	5	1
48620	46416	5	50
46416	48620	5	50
22820	10235	1	474
35794	9624	4	5
35255	2584	4	2200
43162	34818	5	2
34818	43162	5	2
53778	10235	4	194
47101	10235	4	18
56111	17594	4	684
35255	286	4	48
31195	18651	1	2
41409	24947	3	2
41409	12439	4	2
35255	58305	5	1173
58305	35255	5	1173
35255	47155	5	48
47155	35255	5	48
39831	10235	4	705
58072	10950	4	21
48230	29221	3	2
59152	39224	5	2
39224	59152	5	2
58006	57005	5	1
57005	58006	5	1
57752	5820	4	3
35255	20341	3	310
35255	19628	4	24
55652	31834	3	2
37218	10235	4	3
58072	62935	6	307
35255	31391	3	415
38566	12024	4	3
40314	3550	4	698
62592	8534	8	4
33854	23404	3	2
45885	10235	4	91
37459	55237	5	2
55237	37459	5	2
52699	10235	4	2155
58800	10235	4	345
45379	34830	5	1
34830	45379	5	1
26739	10235	1	1287
23693	10235	1	503
35255	23582	3	4
59048	4873	4	3
37878	7014	4	2
35255	32545	3	4
35255	29023	3	5
49779	38117	5	1
38117	49779	5	1
57505	10235	4	172
45400	30820	3	2
35255	10235	4	376
57553	10024	4	36
49615	23829	3	2
26423	11415	1	2
31229	10235	1	164
39540	3877	4	2
37364	10235	4	45
45947	2087	4	7
24374	10235	1	349
40541	10235	4	257
39173	37459	5	4
37459	39173	5	4
61105	24374	7	4
38706	61105	6	80
24788	10713	1	32
54755	37459	5	73
37459	54755	5	73
27661	10235	1	9
56018	10235	4	24
54790	10235	4	420
21199	12943	1	10
30414	10235	1	89
57238	32345	3	46
32111	10235	1	3329
47788	51454	5	1
51454	47788	5	1
51006	62801	6	4
47434	8428	4	57
35255	62935	6	2785
45362	58079	5	8
58079	45362	5	8
32802	7158	1	2
52634	30820	3	78
41820	10235	4	990
41167	19897	4	4
60547	10235	8	48
26583	10235	1	127
30820	4083	1	108
38239	7837	4	2
44788	17594	4	138
30787	5282	1	58
47208	10235	4	254
30787	23451	0	2
23451	30787	0	2
51849	28496	3	79
41868	10235	4	789
55921	19913	4	12
55921	10235	4	218
62880	19913	8	4
51205	10235	4	442
52522	10235	4	167
61693	15245	8	50
26668	10235	1	406
26592	10235	1	6
62935	9197	8	4942
61503	15441	8	2
45346	30964	3	2
37459	14193	4	10
46051	19553	4	9
54824	19913	4	306
38400	12160	4	2
62716	10235	8	211
36265	61867	6	3
55313	18967	4	2
46494	26352	3	3
47788	31496	3	4
35255	28574	3	23
53373	12394	4	48
45953	4332	4	3
53104	25622	3	35
25622	10235	1	56
52699	12652	4	35
25210	10235	1	64
45689	10235	4	2
46994	47136	5	6
47136	46994	5	6
35822	33393	3	4
32345	10235	1	597
26655	10235	1	168
35255	53581	5	128
53581	35255	5	128
51683	12652	4	2
51683	23966	3	7
35255	28476	3	359
45881	26997	3	2
31189	18037	1	2
31189	25525	0	1
25525	31189	0	1
35255	26563	3	2
35255	56791	5	11
56791	35255	5	11
35993	10235	4	1225
35255	32111	3	2142
29519	29530	0	10
29530	29519	0	10
54456	43540	5	1
43540	54456	5	1
41103	62493	6	14
58305	18725	4	2
38226	16516	4	4
40541	62935	6	27
24494	28321	0	3
28321	24494	0	3
28321	31282	0	1
31282	28321	0	1
31282	10235	1	142
35255	24164	3	2
23322	24164	0	1
24164	23322	0	1
24146	19380	1	2
24146	21851	0	24
21851	24146	0	24
25925	16848	1	13
35255	32190	3	49
45828	26701	3	3
51785	23022	3	5
63015	12740	8	17
39443	10235	4	6
38031	39831	5	19
39831	38031	5	19
45263	10295	4	2
45263	23582	3	3
46494	7581	4	40
37459	7391	4	3
62475	12486	8	4
59483	38706	5	1
38706	59483	5	1
51319	51319	5	56
38643	19913	4	2
32345	19913	1	74
37122	14789	4	3
46494	10978	4	2
40141	578	4	2
32410	32410	0	14
28292	32410	0	8
32410	28292	0	8
62669	8337	8	53
35255	60998	6	27
57505	5829	4	2
35255	57505	5	201
57505	35255	5	201
60098	15633	4	237
59322	30820	3	6
51785	48880	5	2
48880	51785	5	2
60528	14524	8	5
60528	11956	8	2
55282	10235	4	16
55652	10366	4	13
55652	57075	5	12
57075	55652	5	12
57925	10235	4	41
55652	62579	6	3
31623	26685	0	1
26685	31623	0	1
37770	10235	4	38
55019	10235	4	2
52201	40145	5	1
40145	52201	5	1
52986	10235	4	10
56206	10235	4	202
60119	2642	4	2
48056	20944	3	79
32213	8464	1	6
37459	7117	4	2
53302	46237	5	1
46237	53302	5	1
54802	62132	6	4
54755	12486	4	13
54802	12486	4	6
32345	17800	1	3
52273	10235	4	21
35255	7014	4	104
51484	10235	4	2
58508	10235	4	957
49588	10235	4	106
45892	58508	5	1
58508	45892	5	1
38706	30787	3	23
32111	19913	1	314
57015	32111	3	7
44044	12638	4	4
55337	16754	4	2
61419	61693	9	26
61693	61419	9	26
52699	31509	3	3
29377	10235	1	24
52312	17121	4	2
37429	27478	3	5
38706	10235	4	5404
47013	24588	3	19
47013	41868	5	8
41868	47013	5	8
34830	62935	6	492
26139	16949	1	28
45915	17186	4	2
35286	3960	4	2
25833	10235	1	64
45053	37459	5	22
37459	45053	5	22
40931	10235	4	162
46457	5282	4	29
50220	30820	3	88
62993	24026	7	2
44227	4930	4	4
54298	4930	4	2
36588	32261	3	10
50795	13441	4	2
35255	21334	3	3
52055	11608	4	2
40931	28764	3	225
27921	10817	1	2
45953	61403	6	2
35255	15989	4	234
39278	44019	5	315
44019	39278	5	315
57290	7373	4	6
46878	10235	4	59
35255	18385	4	67
57553	32659	3	2
42217	10235	4	2
46416	22241	3	2466
40141	25482	3	34
39725	3220	4	224
57031	15853	4	2
55341	9040	4	2
34552	50795	5	1
50795	34552	5	1
56628	7748	4	2
37574	10235	4	289
52320	30787	3	8
34473	30787	3	37
45348	19934	4	2
54100	1096	4	8
45404	10235	4	74
53254	2945	4	24
26329	31959	0	1
31959	26329	0	1
43867	50512	5	4
50512	43867	5	4
59712	13562	4	2
31592	26002	0	1
26002	31592	0	1
43128	10235	4	691
23582	10235	1	623
33427	15633	1	4
49590	63032	6	9
62993	21949	7	26
43867	24132	3	7
35739	30436	3	2
62935	2676	8	2
62433	13574	8	7
37737	38190	5	5
38190	37737	5	5
38190	8305	4	6
45155	8969	4	2
47034	10235	4	759
36171	46416	5	855
46416	36171	5	855
44412	10235	4	8
50732	52932	5	1
52932	50732	5	1
51362	40314	5	59
40314	51362	5	59
43326	12670	4	2
21116	9790	1	2
30272	30272	0	4
35255	55104	5	333
55104	35255	5	333
28764	12432	1	6
49435	30995	3	31
26668	1206	1	140
41773	35485	5	7
35485	41773	5	7
57925	54674	5	1
54674	57925	5	1
32410	10235	1	425
43806	32410	3	2
21855	2265	1	8
50650	63028	6	20
29850	10235	1	130
30450	750	1	7
35993	30450	3	69
36512	202	4	9
38735	42771	5	6
42771	38735	5	6
52033	21603	3	4
42771	45794	5	2
45794	42771	5	2
38735	52033	5	6
52033	38735	5	6
43335	21076	3	2
40858	56642	5	1
56642	40858	5	1
31591	10235	1	120
48014	12829	4	4
23693	3075	1	99
47616	12652	4	6
