14763	psoriasis	0	6
19228	Skin_disease	0	6
5145	Nevus	0	6
16622	frambesia	0	6
14749	Erythroderma	0	6
5455	Furunculosis	0	6
17735	nephritis	0	6
10500	seborrhea	0	6
10694	SLs	0	6
8090	exanthems	0	6
4341	exanthema	0	6
10410	neurofibromatosis	0	6
16985	skin_disorders	0	6
3070	dermatoses	0	6
13076	acanthosis_nigricans	0	6
7972	Hyperpigmentation	0	6
556	Psoriasis	0	6
19543	skin_disease	0	6
800	Scleredema	0	6
3635	skin_disorder	0	6
17576	ADA-SCID	0	6
13278	systemic	0	6
17825	Von_Recklinghausen's_disease	0	6
16002	Acanthosis	0	6
8111	Skin_disorders	0	6
7649	Severe_combined_immunodeficiency	0	6
5075	bruises	0	6
18615	Renal_insufficiency	0	6
17627	melanism	0	6
8770	hyperpigmentation	0	6
17835	Systemic	0	6
8499	Dermatoses	0	6
6188	blistering	0	6
8261	renal_disorder	0	6
15287	Meiosis	0	5
13110	Transition	0	5
3780	TNS	0	5
10509	CHROMOSOMES	0	5
995	AIMS	0	5
1925	inferiority	0	5
11597	Ruptures	0	5
14473	drowsiness	0	5
18901	Prematurity	0	5
10924	Infestation	0	5
11672	KS	0	5
11940	well-being	0	5
1886	dependences	0	5
10111	ME	0	5
13331	Deficiency	0	5
2184	prematurity	0	5
19105	tumor_suppressor_genes	0	5
15537	black	0	5
3028	AIMSS	0	5
17218	Dependencies	0	5
14307	Consciousness	0	5
10812	Echinococcosis	0	5
5592	hydatid_disease	0	5
5524	TNSs	0	5
2796	Hyalinization	0	5
11004	infestations	0	5
10076	lethargy	0	5
10722	Oklahoma	0	5
15900	hydatidosis	0	5
14928	ID	0	5
14601	hyalinization	0	5
6568	Hypotonia	0	5
12884	dentate_nucleus	0	5
14062	isolation	0	5
9690	RISS	0	5
15572	flexures	0	5
9783	dependencies	0	5
5158	premature_labour	0	5
13473	excitation	0	5
14196	OBJECTIVE	0	5
5005	SD	0	5
12036	CHROMATIN	0	5
7228	deprivations	0	5
9287	AIMs	0	5
342	separation	0	5
6151	weakness	0	5
8593	Hydatidosis	0	5
9488	VTs	0	5
9079	sexual_desire	0	5
1692	OBJECTIVES	0	5
12844	SELF	0	5
3794	neurons	0	5
17779	encephalomeningitis	0	4
3092	Cellulitis	0	4
13017	thrombocytopenia	0	4
7622	intracranial_aneurysms	0	4
16118	scleritis	0	4
6479	Chorioretinitis	0	4
9831	vulvovaginitis	0	4
18702	Vasculitis	0	4
5233	Cholangitis	0	4
11287	otitis	0	4
19678	Gastroenteritis	0	4
13074	Bronchiolitis	0	4
5205	Meningitis	0	4
